종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
282330,BGF리테일,"139,300","-1,500","1.07","9,917,089,850","2,407,648,105,800"
097950,CJ제일제당,"305,000","7,500","2.52","10,353,834,500","4,591,526,730,000"
005830,DB손해보험,"99,200","7,300","7.94","40,303,136,000","7,023,360,000,000"
383220,F&F,"72,500","3,100","4.47","13,919,854,600","2,777,262,937,500"
078930,GS,"50,300","600","1.21","23,456,438,300","4,673,643,513,400"
007070,GS리테일,"23,100","150","0.65","4,907,001,400","2,418,983,998,200"
009540,HD한국조선해양,"119,100","4,400","3.84","37,453,511,600","8,429,078,115,600"
267250,HD현대,"70,400","-1,600","2.22","40,810,717,000","5,561,113,184,000"
329180,HD현대중공업,"113,900","1,100","0.98","14,501,214,800","10,111,257,912,400"
011200,HMM,"19,660","630","3.31","124,466,081,590","13,546,516,491,360"
105560,KB금융,"66,300","5,000","8.16","352,651,019,202","26,752,784,073,600"
030200,KT,"38,550","1,650","4.47","93,630,940,100","9,940,532,298,000"
033780,KT&G,"92,900","300","0.32","27,870,965,800","12,432,109,971,300"
003550,LG,"92,100","4,000","4.54","88,192,759,100","14,487,421,455,300"
034220,LG디스플레이,"11,890","50","0.42","14,529,043,230","4,254,428,673,000"
051900,LG생활건강,"314,000","8,500","2.78","22,911,811,000","4,904,113,858,000"
373220,LG에너지솔루션,"387,500","6,000","1.57","101,483,968,500","90,675,000,000,000"
032640,LG유플러스,"10,440","10","0.10","14,952,989,640","4,558,222,608,840"
011070,LG이노텍,"199,500","6,600","3.42","29,984,086,000","4,721,587,846,500"
066570,LG전자,"97,300","2,200","2.31","90,760,085,400","15,922,932,302,200"
051910,LG화학,"461,000","31,000","7.21","309,922,167,500","32,543,070,123,000"
035420,NAVER,"221,500","19,000","9.38","397,797,262,000","35,973,503,571,000"
005940,NH투자증권,"11,290","160","1.44","22,182,392,550","3,744,508,248,090"
005490,POSCO홀딩스,"449,000","12,000","2.75","281,552,806,500","37,972,482,270,000"
010950,S-Oil,"68,800","1,000","1.47","22,946,861,900","7,745,696,089,600"
034730,SK,"196,800","-200","0.10","111,297,199,600","14,405,431,147,200"
011790,SKC,"77,600","700","0.91","12,348,234,600","2,938,579,924,800"
302440,SK바이오사이언스,"64,700","600","0.94","5,093,348,500","4,970,755,425,000"
326030,SK바이오팜,"92,400","2,400","2.67","9,163,307,500","7,236,144,300,000"
402340,SK스퀘어,"59,500","5,900","11.01","144,093,873,750","8,269,371,642,000"
361610,SK아이이테크놀로지,"76,000","1,200","1.60","33,173,813,400","5,418,616,992,000"
096770,SK이노베이션,"124,400","3,200","2.64","48,855,752,200","12,521,552,161,600"
017670,SK텔레콤,"50,300","-500","0.98","44,225,248,800","11,007,307,143,200"
000660,SK하이닉스,"134,900","2,200","1.66","497,093,939,480","98,207,519,038,500"
035250,강원랜드,"15,940","410","2.64","11,938,222,910","3,410,211,570,000"
010130,고려아연,"475,500","500","0.11","15,555,573,000","9,942,033,594,000"
001570,금양,"80,600","1,700","2.15","31,138,736,800","4,678,832,982,200"
011780,금호석유,"130,600","200","0.15","21,992,671,600","3,728,326,877,400"
000270,기아,"119,500","13,200","12.42","967,704,336,100","48,044,282,258,500"
024110,기업은행,"13,240","110","0.84","62,068,553,630","10,557,918,505,560"
251270,넷마블,"60,200","3,700","6.55","11,083,091,100","5,174,400,820,400"
003490,대한항공,"23,150","450","1.98","24,106,770,150","8,524,308,302,150"
241560,두산밥캣,"50,800","1,500","3.04","18,814,922,500","5,092,657,632,800"
034020,두산에너빌리티,"16,000","620","4.03","92,528,966,440","10,248,978,336,000"
004990,롯데지주,"31,600","350","1.12","43,567,350,250","3,315,131,889,200"
011170,롯데케미칼,"132,500","-7,600","5.42","42,692,525,900","5,667,743,017,500"
138040,메리츠금융지주,"71,700","1,700","2.43","56,485,474,300","14,581,780,573,800"
006800,미래에셋증권,"8,620","330","3.98","19,485,963,280","5,217,827,436,960"
006400,삼성SDI,"393,000","15,500","4.11","148,303,469,500","27,024,460,290,000"
028260,삼성물산,"148,700","0","0.00","260,227,281,859","27,597,481,329,000"
207940,삼성바이오로직스,"859,000","30,000","3.62","113,222,433,000","61,138,466,000,000"
032830,삼성생명,"78,400","2,400","3.16","111,460,041,600","15,680,000,000,000"
018260,삼성에스디에스,"160,200","5,400","3.49","32,190,171,800","12,395,923,560,000"
028050,삼성엔지니어링,"23,050","-200","0.86","34,660,115,348","4,517,800,000,000"
009150,삼성전기,"140,200","500","0.36","55,630,698,100","10,472,056,179,200"
005930,삼성전자,"75,200","1,600","2.17","1,116,696,087,686","448,927,647,760,000"
010140,삼성중공업,"7,250","110","1.54","24,134,921,970","6,380,000,000,000"
016360,삼성증권,"40,550","1,000","2.53","28,467,339,900","3,621,115,000,000"
029780,삼성카드,"34,800","-100","0.29","8,456,391,650","4,031,889,406,800"
000810,삼성화재,"299,000","9,500","3.28","51,883,951,000","14,165,076,263,000"
068270,셀트리온,"184,000","5,300","2.97","99,170,879,800","40,108,450,088,000"
055550,신한지주,"45,300","2,800","6.59","245,263,869,950","23,228,004,036,300"
003410,쌍용C&E,"6,410","90","1.42","10,998,677,550","3,196,647,564,880"
002790,아모레G,"26,750","950","3.68","6,442,104,100","2,205,756,315,000"
090430,아모레퍼시픽,"123,100","3,500","2.93","28,066,166,700","7,200,458,632,900"
012750,에스원,"58,000","1,100","1.93","2,908,454,300","2,203,952,324,000"
450080,에코프로머티,"176,000","2,400","1.38","281,236,735,700","12,141,398,368,000"
036570,엔씨소프트,"204,000","4,600","2.31","18,079,736,900","4,478,620,488,000"
271560,오리온,"92,800","1,300","1.42","24,373,806,100","3,668,953,049,600"
316140,우리금융지주,"14,710","300","2.08","96,939,159,300","11,061,176,571,310"
000100,유한양행,"59,900","800","1.35","10,953,624,200","4,804,522,933,600"
139480,이마트,"87,400","8,300","10.49","148,415,105,300","2,436,346,580,600"
030000,제일기획,"18,850","430","2.33","6,747,891,410","2,168,527,091,250"
035720,카카오,"56,300","3,600","6.83","135,058,800,100","25,045,048,131,400"
323410,카카오뱅크,"29,300","2,450","9.12","76,876,558,350","13,972,353,614,100"
377300,카카오페이,"48,800","2,400","5.17","16,355,182,050","6,552,135,220,800"
021240,코웨이,"58,200","2,200","3.93","9,339,200,750","4,295,137,825,800"
259960,크래프톤,"223,000","9,000","4.21","32,125,634,500","10,785,281,939,000"
047050,포스코인터내셔널,"54,000","500","0.93","33,122,466,800","9,499,830,552,000"
003670,포스코퓨처엠,"264,500","4,500","1.73","118,975,151,000","20,489,021,690,000"
086790,하나금융지주,"55,900","3,900","7.50","289,495,810,850","16,342,733,828,200"
352820,하이브,"205,500","6,500","3.27","53,705,882,000","8,559,505,933,500"
036460,한국가스공사,"27,550","0","0.00","29,527,617,350","2,543,223,150,000"
071050,한국금융지주,"66,300","100","0.15","22,507,223,259","3,694,633,269,600"
015760,한국전력,"20,350","-50","0.25","29,522,411,000","13,063,968,966,950"
161390,한국타이어앤테크놀로지,"50,800","-1,200","2.31","26,125,926,200","6,292,853,505,200"
047810,한국항공우주,"48,350","-2,150","4.26","83,865,270,600","4,712,921,423,450"
008930,한미사이언스,"40,900","250","0.62","13,361,887,050","2,861,238,846,000"
128940,한미약품,"318,500","3,000","0.95","9,776,326,000","4,080,300,633,500"
018880,한온시스템,"6,480","120","1.89","6,975,852,570","3,459,024,000,000"
180640,한진칼,"76,300","2,200","2.97","6,814,167,400","5,093,961,887,700"
009830,한화솔루션,"34,700","-300","0.86","29,361,278,650","5,964,670,999,200"
012450,한화에어로스페이스,"132,200","-400","0.30","43,909,174,100","6,693,286,000,000"
042660,한화오션,"22,550","500","2.27","11,189,608,900","6,908,393,172,450"
000720,현대건설,"34,400","-650","1.85","33,134,903,608","3,830,638,316,000"
086280,현대글로비스,"189,100","5,700","3.11","40,456,146,600","7,091,250,000,000"
012330,현대모비스,"232,000","12,500","5.69","146,364,217,000","21,727,981,808,000"
004020,현대제철,"35,650","750","2.15","23,575,864,350","4,757,342,235,250"
005380,현대차,"227,000","19,000","9.13","1,295,034,318,500","48,017,651,862,000"
008770,호텔신라,"59,700","800","1.36","18,058,441,000","2,343,112,823,700"