section,title,date,page,url
공시/메모,"HD한국조선해양, 여객선 2척 건조계약 해지…4천169억원 규모",2024-02-13,1,https://n.news.naver.com/mnews/article/001/0014503103
공시/메모,"한국정보통신, 작년 영업익 356억…전년比 32%↑",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672545
공시/메모,"베셀, 작년 영업손실 125억…전년比 91% ↑",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672540
공시/메모,"AP위성, 지난해 영업이익 100억…전년比 124%↑",2024-02-13,1,https://n.news.naver.com/mnews/article/277/0005379269
공시/메모,"유진이엔티, 3219억 규모 유상증자 결정",2024-02-13,1,https://n.news.naver.com/mnews/article/277/0005379268
공시/메모,"디아이티, 작년 영업익 87억…전년比 58%↑",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672519
공시/메모,"케이엔에스, 작년 영업익 39억…전년比 35% ↓",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672517
공시/메모,"성도이엔지, 지난해 영업이익 136억…흑자 전환",2024-02-13,1,https://n.news.naver.com/mnews/article/277/0005379265
공시/메모,"AP위성, 작년 영업익 100억…전년比 124%↑",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672514
공시/메모,"휴림에이텍, 작년 영업익 48억…전년比 86%↑",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672513
공시/메모,NHN 작년 영업이익 555억원…전년 대비 42.2%↑(종합),2024-02-13,1,https://n.news.naver.com/mnews/article/001/0014503083
공시/메모,"대한약품, 주당 750원 결산 현금배당 결정",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672511
공시/메모,"GST, 주당 500원 결산 현금배당 결정",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672509
공시/메모,"토마토시스템, 주당 90원 결산 현금배당 결정",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672508
공시/메모,"성도이엔지, 작년 영업익 136억…흑자전환",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672506
공시/메모,"체리부로, 작년 영업익 215억…전년比 30% ↑",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672503
공시/메모,"거래소, 동일철강 주권매매거래 정지",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672501
공시/메모,"동일철강, 작년 영업손실 32억…적자전환",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672500
공시/메모,NHN 지난해 영업이익 555억원…전년 대비 42.2%↑,2024-02-13,1,https://n.news.naver.com/mnews/article/277/0005379262
공시/메모,"바이오에프디엔씨, 작년 영업익 51억…전년比 5%↑",2024-02-13,1,https://n.news.naver.com/mnews/article/018/0005672497
공시/메모,NHN 작년 영업이익 555억원…전년 대비 42.2%↑,2024-02-13,2,https://n.news.naver.com/mnews/article/001/0014503075
공시/메모,"젬백스, 진행성 핵상마비 치료제 美 임상 2상 계획 승인",2024-02-13,2,https://n.news.naver.com/mnews/article/018/0005672496
공시/메모,"가온칩스, 작년 영업익 44억…전년比 12% ↑",2024-02-13,2,https://n.news.naver.com/mnews/article/018/0005672495
공시/메모,"밸로프, 작년 영업익 2억…전년比 94%↓",2024-02-13,2,https://n.news.naver.com/mnews/article/018/0005672492
공시/메모,"뉴인텍, 지난해 영업손실 111억…전년 대비 35%↑",2024-02-13,2,https://n.news.naver.com/mnews/article/277/0005379258
공시/메모,"싸이버원, 29억 규모 지자체 정보보호 컨설팅계약 체결",2024-02-13,2,https://n.news.naver.com/mnews/article/018/0005672491
공시/메모,"와이지-원, 주당 280원 결산 현금배당 결정",2024-02-13,2,https://n.news.naver.com/mnews/article/018/0005672490
공시/메모,"안랩, 지난해 영업이익 264억원…전년 대비 2.09%↓",2024-02-13,2,https://n.news.naver.com/mnews/article/277/0005379255
공시/메모,"지오엘리먼트, 작년 영업익 8억…전년比 90%↓",2024-02-13,2,https://n.news.naver.com/mnews/article/018/0005672489
공시/메모,"레이크머티리얼즈, 지난해 영업이익 295억…전년 대비 17%↓",2024-02-13,2,https://n.news.naver.com/mnews/article/277/0005379254
공시/메모,CJ제일제당 지난해 영업이익 1조2916억…전년 대비 22%↓,2024-02-13,2,https://n.news.naver.com/mnews/article/277/0005379252
공시/메모,"아비코전자, 주당 50원 결산 현금배당 결정",2024-02-13,2,https://n.news.naver.com/mnews/article/018/0005672486
공시/메모,"뉴인텍, 작년 영업손실 111억…전년比 35%↑",2024-02-13,2,https://n.news.naver.com/mnews/article/018/0005672483
공시/메모,"웅진씽크빅, 지난해 영업이익 55억…전년 대비 79.8%↑",2024-02-13,2,https://n.news.naver.com/mnews/article/277/0005379251
공시/메모,"레이크머티리얼즈, 작년 영업익 295억…전년比 17%↓",2024-02-13,2,https://n.news.naver.com/mnews/article/018/0005672480
공시/메모,"대성미생물, 작년 영업손실 7억…전년比 110%↓",2024-02-13,2,https://n.news.naver.com/mnews/article/018/0005672476
공시/메모,"한일시멘트, 지난해 영업이익 2466억…전년 대비 109%↑",2024-02-13,2,https://n.news.naver.com/mnews/article/277/0005379249
공시/메모,"하이소닉, 20억 규모 CB 발행 결정",2024-02-13,2,https://n.news.naver.com/mnews/article/018/0005672474
공시/메모,"지투파워, 지난해 영업손실 8억원…적자 전환",2024-02-13,2,https://n.news.naver.com/mnews/article/277/0005379248
공시/메모,"아모그린텍, 작년 영업이익 122억…전년比 39%↑",2024-02-13,2,https://n.news.naver.com/mnews/article/018/0005672472
공시/메모,"SK네트웍스, 지난해 영업익 2천373억원…전년보다 33.6%↑(종합)",2024-02-13,3,https://n.news.naver.com/mnews/article/001/0014502944
공시/메모,"지투파워, 작년 영업손실 8억원…적자전환",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672468
공시/메모,"거래소, 파멥신 실질심사 대상 조사기간 연장",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672467
공시/메모,"CS, 58억 규모 5G 광중계기외 공급계약",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672465
공시/메모,"유진테크놀로지, 71억 규모 전환사채 평가손실 발생",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672463
공시/메모,"디엔에프, 주당 200원 결산 현금배당 결정",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672460
공시/메모,"엑셈, 자기주식 전량 현물배당 결정",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672456
공시/메모,"엑셈, 작년 영업익 47억…전년比 62%↓",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672391
공시/메모,"에프에스티, 주당 50원 결산 현금배당",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672389
공시/메모,"바이오플러스, 주당 70원 결산 현금배당 결정",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672387
공시/메모,"한신공영, 작년 영업이익 121억원…전년 대비 69%↓",2024-02-13,3,https://n.news.naver.com/mnews/article/001/0014502684
공시/메모,"에스에스알, 작년 영업익 16억…전년比 32%↓",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672386
공시/메모,"지아이이노베이션, 작년 영업손실 536억…전년比 21%↓",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672385
공시/메모,"선진뷰티사이언스, 작년 영업익 90억…전년比 70%↑",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672384
공시/메모,"선진뷰티사이언스, 주당 40원 결산 현금배당 결정",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672347
공시/메모,"서호전기, 주당 1000원 결산 현금배당 결정",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672342
공시/메모,"서진시스템, 작년 영업익 572억…전년比 4%↓",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672326
공시/메모,"비씨월드제약, 주당 100원 결산 현금배당 결정",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672325
공시/메모,"이건홀딩스, 작년 영업손실 77억…적자전환",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672323
공시/메모,"가온칩스, 가온칩스재팬과 556억 규모 AI반도체 설계개발 수주",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672321
공시/메모,"유진테크놀로지, 71억 파생상품 거래손실 발생 [주목 e공시]",2024-02-13,4,https://n.news.naver.com/mnews/article/015/0004947712
공시/메모,레이크머티리얼즈 작년 영업이익 295억원…전년 대비 16.6%↓,2024-02-13,4,https://n.news.naver.com/mnews/article/001/0014502190
공시/메모,서진시스템 작년 영업이익 573억원…전년 대비 4%↓,2024-02-13,4,https://n.news.naver.com/mnews/article/001/0014501983
공시/메모,"에스티아이, 삼성전자와 769억 규모 반도체장비 계약",2024-02-13,4,https://n.news.naver.com/mnews/article/018/0005672318
공시/메모,"비씨월드제약, 작년 영업익 63억…전년比 242%↑",2024-02-13,4,https://n.news.naver.com/mnews/article/018/0005672317
공시/메모,"셀바이오휴먼틱, 작년 영업익 28억…전년比 19%↓",2024-02-13,4,https://n.news.naver.com/mnews/article/018/0005672314
공시/메모,"인산가, 주당 50원 현금배당 결정",2024-02-13,4,https://n.news.naver.com/mnews/article/018/0005672299
공시/메모,이마트 작년 영업손실 469억원…적자 전환,2024-02-14,1,https://n.news.naver.com/mnews/article/001/0014504422
공시/메모,"휴온스, 작년 영업익 550억…전년비 34.6%↑ [주목 e공시]",2024-02-14,1,https://n.news.naver.com/mnews/article/015/0004948132
공시/메모,국내 ESG 공시기준 간담회,2024-02-14,1,https://n.news.naver.com/mnews/article/001/0014503914
공시/메모,발언하는 김소영 금융위원회 부위원장,2024-02-14,1,https://n.news.naver.com/mnews/article/001/0014503913
공시/메모,국내 ESG 공시기준 간담회,2024-02-14,1,https://n.news.naver.com/mnews/article/001/0014503911
공시/메모,"환인제약, 4분기 영업익 65억…전년비 2.9% ↑",2024-02-14,1,https://n.news.naver.com/mnews/article/016/0002266344
공시/메모,"휴온스, 지난해 영업익 550억…전년비 34.6%↑·주당 330원 현금배당",2024-02-14,1,https://n.news.naver.com/mnews/article/016/0002266262
공시/메모,"휴온스, 4분기 영업익 110억…전년비 32.4% ↓",2024-02-14,1,https://n.news.naver.com/mnews/article/016/0002266257
공시/메모,"톱텍, 주당 300원 현금배당 결정",2024-02-14,1,https://n.news.naver.com/mnews/article/016/0002266249
공시/메모,"삼정펄프, 지난해 영업익 74억…전년비 58% ↑",2024-02-14,1,https://n.news.naver.com/mnews/article/016/0002266244
공시/메모,"NHN ""내실 경영으로 역대 최대 영업이익 목표""…첫 현금배당(종합)",2024-02-14,1,https://n.news.naver.com/mnews/article/001/0014503791
공시/메모,국내상장기업 ESG 공시기준 이르면 내달 발표…2026년 도입,2024-02-14,1,https://n.news.naver.com/mnews/article/001/0014503722
공시/메모,"NHN ""내실 경영으로 역대 최대 영업이익 목표""…첫 현금배당",2024-02-14,1,https://n.news.naver.com/mnews/article/001/0014503705
공시/메모,"네오위즈, 작년 영업익 317억…전년비 62.2%↑ [주목 e공시]",2024-02-14,1,https://n.news.naver.com/mnews/article/015/0004948096
공시/메모,"관리종목 지정 사유 발생한 동일철강, 주가 21% '급락'",2024-02-14,1,https://n.news.naver.com/mnews/article/015/0004948079
공시/메모,"네오위즈, 'P의 거짓' 흥행에 작년 영업이익 62% 급증(종합)",2024-02-14,1,https://n.news.naver.com/mnews/article/001/0014503602
공시/메모,"서진시스템, 432억 규모 ESS 공급계약",2024-02-14,1,https://n.news.naver.com/mnews/article/016/0002266213
공시/메모,"감성코퍼레이션, 지난해 영업익 325억…전년비 100% ↑",2024-02-14,1,https://n.news.naver.com/mnews/article/016/0002266209
공시/메모,"케이카, 4분기 영업익 119억…전년비 24.6%↑·주당 190원 현금배당",2024-02-14,1,https://n.news.naver.com/mnews/article/016/0002266126
공시/메모,"네오위즈, 지난해 영업익 317억…전년비 62.2%↑·주당 245원 현금배당",2024-02-14,1,https://n.news.naver.com/mnews/article/016/0002266118
공시/메모,네오위즈 작년 영업이익 317억원…전년 대비 62.2%↑,2024-02-14,2,https://n.news.naver.com/mnews/article/001/0014503515
공시/메모,더블유게임즈 작년 영업이익 2천133억원…전년 대비 16%↑,2024-02-14,2,https://n.news.naver.com/mnews/article/001/0014503507
공시/메모,"더블유게임즈, 작년 영업익 2133억…전년비 16%↑ [주목 e공시]",2024-02-14,2,https://n.news.naver.com/mnews/article/015/0004948039
공시/메모,"네오위즈, 4분기 영업익 151억…흑자전환",2024-02-14,2,https://n.news.naver.com/mnews/article/016/0002266113
공시/메모,"네오위즈, 4Q 영업익 151.2억…흑자전환",2024-02-14,2,https://n.news.naver.com/mnews/article/018/0005672717
공시/메모,"더블유게임즈, 4분기 영업익 628억…전년비 21.9% ↑",2024-02-14,2,https://n.news.naver.com/mnews/article/016/0002266111
공시/메모,"NHN KCP, 4분기 영업익 124억…전년비 3% ↑",2024-02-14,2,https://n.news.naver.com/mnews/article/016/0002266109
공시/메모,"더블유게임즈, 지난해 영업익 2133억…전년비 16%↑·주당 1000원 현금배당",2024-02-14,2,https://n.news.naver.com/mnews/article/016/0002266107
공시/메모,"NHN KCP, 4Q 영업익 123.9억…전년비 3%↑",2024-02-14,2,https://n.news.naver.com/mnews/article/018/0005672684
공시/메모,NHN KCP 작년 영업이익 420억원…전년 대비 5.1%↓,2024-02-14,2,https://n.news.naver.com/mnews/article/001/0014503425
